State,Residence_Type,Gender,Agriculture & Fishing (%),Mining (%),Manufacturing (%),Energy Supply (%),"Persons working in water supply, sewerage, waste management and remediation industry (%)",Construction (%),Wholesale (%),Transportation & Storage (%),Hotel Industry (%),IT (%),Finance & Insurance (%),Real Estate (%),Scientific & Technical (%),Administration (%),Public administration & Defence (%),Education (%),Health (%),Entertainment Industry (%),Household (%)
Telangana,Total,Person,48.43,0.61,10.69,0.1,0.21,6.62,11.65,4.89,0.93,2.27,0.77,0.66,1.06,0.73,1.8,4.34,1.53,0.42,0.73
Telangana,Urban,Female,9.47,0.15,17.45,0.0,0.0,4.81,27.1,0.59,2.42,4.1,0.82,0.95,1.97,1.66,2.33,12.83,5.1,0.21,5.04
Telangana,Urban,Male,2.78,2.22,15.66,0.41,0.34,10.56,24.9,11.22,2.25,7.09,2.44,1.97,3.3,1.53,3.62,3.14,2.54,0.74,1.11
Telangana,Urban,Person,4.53,1.68,16.13,0.3,0.25,9.06,25.47,8.45,2.29,6.31,2.01,1.7,2.95,1.56,3.29,5.67,3.21,0.6,2.14
Ladakh,Rural,Female,80.27,0.0,9.6,0.28,0.0,0.09,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.0,1.53,4.68,2.77,0.0,0.0
Ladakh,Rural,Male,28.54,0.08,7.72,0.58,1.25,24.26,12.5,6.9,1.93,0.51,0.79,0.0,0.31,0.84,5.68,6.28,0.77,0.16,0.02
Ladakh,Rural,Person,44.59,0.05,8.31,0.49,0.86,16.76,8.72,4.76,1.33,0.35,0.54,0.0,0.3,0.58,4.39,5.78,1.39,0.11,0.01
Ladakh,Total,Female,74.42,0.0,10.55,0.26,0.11,0.31,0.57,0.01,0.04,0.01,0.08,0.0,0.28,0.1,1.86,7.51,3.55,0.0,0.07
Ladakh,Total,Male,23.59,0.08,8.51,0.69,1.28,22.16,15.91,7.51,2.26,0.57,1.15,0.04,0.58,0.96,6.38,5.97,1.1,0.2,0.06
Ladakh,Total,Person,38.13,0.06,9.1,0.57,0.94,15.91,11.52,5.36,1.62,0.41,0.85,0.03,0.49,0.72,5.09,6.41,1.8,0.14,0.06
Ladakh,Urban,Female,24.05,0.0,18.77,0.14,1.04,2.19,2.82,0.09,0.41,0.11,0.78,0.0,0.06,0.9,4.69,31.86,10.3,0.02,0.72
Ladakh,Urban,Male,4.03,0.11,11.63,1.11,1.39,13.88,29.37,9.88,3.54,0.8,2.6,0.2,1.67,1.43,9.16,4.78,2.4,0.37,0.22
Ladakh,Urban,Person,7.45,0.09,12.85,0.95,1.33,11.88,24.83,8.21,3.0,0.68,2.29,0.17,1.4,1.34,8.4,9.41,3.75,0.31,0.3
Ladakh,Rural,Female,81.21,0.0,5.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.11,0.0,0.0,5.77,0.0,0.0
Ladakh,Rural,Male,23.87,0.0,0.0,0.3,6.47,21.98,14.85,5.43,0.0,0.77,1.7,0.0,0.0,0.0,9.61,15.03,0.0,0.0,0.0
Ladakh,Rural,Person,45.77,0.0,2.26,0.19,4.0,13.59,9.18,3.35,0.0,0.48,1.05,0.0,0.0,2.72,5.94,9.29,2.2,0.0,0.0
Ladakh,Total,Female,74.52,0.0,5.83,0.0,0.0,0.68,1.02,0.0,1.57,0.0,0.0,0.0,0.0,7.05,1.65,1.3,6.38,0.0,0.0
Ladakh,Total,Male,21.98,0.0,0.0,0.26,5.58,20.66,15.11,8.88,1.36,0.66,1.47,0.0,0.03,0.49,10.03,12.96,0.21,0.21,0.0
Ladakh,Total,Person,41.7,0.0,2.19,0.16,3.49,13.16,9.82,5.55,1.44,0.41,0.92,0.0,0.02,2.96,6.88,8.58,2.52,0.13,0.0
Ladakh,Urban,Female,22.24,0.0,5.21,0.0,0.0,5.98,8.97,0.0,13.87,0.0,0.0,0.0,0.0,6.59,14.59,11.45,11.1,0.0,0.0
Ladakh,Urban,Male,10.09,0.0,0.0,0.0,0.0,12.34,16.81,30.57,9.93,0.0,0.0,0.0,0.24,3.6,12.67,0.0,1.51,1.51,0.0
Ladakh,Urban,Person,14.12,0.0,1.73,0.0,0.0,10.23,14.21,20.43,11.23,0.0,0.0,0.0,0.16,4.59,13.31,3.8,4.69,1.01,0.0
The Dadra And Nagar Haveli And Daman And Diu,Rural,Female,58.9141209807,0.0,21.3425309844,0.0,0.0,0.7167855119,6.2329111741,0.0,4.7744080325,0.0,0.0,0.0,0.0,0.0902372798,0.1984181348,4.1460795861,3.0605477393,0.0,0.5314803499
The Dadra And Nagar Haveli And Daman And Diu,Rural,Male,17.5956900333,0.0,48.2412630282,0.0,0.0526384132,10.5631235678,10.6317306887,7.0086896637,1.3931472219,0.0,0.0,0.0,0.1353559197,0.1041695208,1.1103447086,1.0939039054,2.0699433288,0.0,0.0
The Dadra And Nagar Haveli And Daman And Diu,Rural,Person,33.222569915,0.0,38.2426820254,0.0,0.0300790933,6.8658753234,9.4959002094,5.1394298386,1.7654185044,0.0,0.0,0.0,0.0827175065,0.1243277073,0.8474690156,1.6503954663,2.4484913145,0.0,0.0721638536
The Dadra And Nagar Haveli And Daman And Diu,Total,Female,34.8471043826,0.0,48.3951507779,0.0,0.0,0.1326147786,6.615042746,0.0,1.0345160114,0.0,0.0,0.0,1.8211501203,2.7008534541,0.0372979065,1.606299876,1.8738522138,0.0,0.8892714275
The Dadra And Nagar Haveli And Daman And Diu,Total,Male,5.6358407615,0.0,65.2926495001,0.0175673645,0.3454915019,5.7643038149,9.462712452,5.6084254867,1.1614421183,0.0,0.5035977825,0.0414421183,0.3337799256,0.5581137939,3.3777870743,0.4940493836,1.3910853454,0.0,0.0058557882
The Dadra And Nagar Haveli And Daman And Diu,Total,Person,12.8788169812,0.0,60.655157269,0.0117115763,0.2635104676,4.5291765993,8.9137029692,4.3095183455,1.0940568969,0.0,0.3806262309,0.0331536947,0.696838792,0.8762275878,2.8145385514,0.7318862061,1.5819810344,0.0,0.2115294332
The Dadra And Nagar Haveli And Daman And Diu,Urban,Female,6.2938822988,0.0,71.5416938034,0.0,0.0,0.0,8.5028539858,0.0,0.1963915725,0.0,0.0,0.0,6.3920780851,3.8279633188,0.0,0.2945873587,0.1262517252,0.0,2.6793421673
The Dadra And Nagar Haveli And Daman And Diu,Urban,Male,0.2431514707,0.0,72.4643116531,0.0233799491,0.4535710126,3.4597577203,9.633576836,4.7554816478,1.0778786767,0.0,0.6920464935,0.0638881222,0.3974591348,0.8012448245,4.6217628099,0.1963915725,1.1073941173,0.0,0.0093519796
The Dadra And Nagar Haveli And Daman And Diu,Urban,Person,0.9305219743,0.0,72.6357711547,0.0233799491,0.4021351246,2.9621213233,9.4446443982,4.2177428184,0.965146748,0.0,0.6125546665,0.0532401018,1.0754776588,1.2936458424,3.9054736698,0.2104195419,0.9457297508,0.0,0.313291318
The Dadra And Nagar Haveli And Daman And Diu,Rural,Female,74.585302698,0.0,14.2526785758,0.0,0.0,2.0679376617,2.2806729087,1.240762597,0.684542565,0.0,0.0,0.0,0.0,0.0,0.503486017,3.3529217691,0.0,0.0,0.6870227917
The Dadra And Nagar Haveli And Daman And Diu,Rural,Male,27.0209727732,0.0,44.9125474929,0.120316373,0.6842993717,10.7697225576,2.5023846249,6.9514909449,2.108627079,0.0,1.5866721695,0.0,0.0,0.0,2.1548931871,0.3890508809,0.7369377849,0.0520847604,0.0
The Dadra And Nagar Haveli And Daman And Diu,Rural,Person,47.6776377972,0.0,32.0943843785,0.0676779598,0.3835084391,7.088039177,2.3460004928,4.4454007638,1.4285763213,0.0,0.8873332512,0.0,0.0,0.0,1.6778196378,1.1926443267,0.4135875323,0.039683627,0.1860170014
The Dadra And Nagar Haveli And Daman And Diu,Total,Female,48.3748914569,0.0,22.0395662707,0.0,0.0,1.2414270916,6.028450872,0.7436850973,1.2013698301,0.0,1.2764172442,0.0,0.0,0.5621556641,0.1657684733,9.5331987747,1.7274575096,0.0,4.5752098624
The Dadra And Nagar Haveli And Daman And Diu,Total,Male,11.43713079,0.3162125611,64.5528466699,0.7189296813,0.2622504924,4.9559055364,5.2387700782,5.036322416,1.3144211832,0.2693737691,1.0615294332,0.5972903931,0.0,0.3689146546,0.968295937,1.7563073893,0.8063947042,0.0124326355,0.0
The Dadra And Nagar Haveli And Daman And Diu,Total,Person,22.0728813915,0.2225199504,52.9649751259,0.5538822672,0.185404187,3.9056435917,5.3421134293,3.9693812824,1.2567665038,0.2072105916,1.0596432271,0.4216167481,0.0,0.4274725363,0.768565395,3.6963149027,1.0997230286,0.0124326355,1.0194761106
The Dadra And Nagar Haveli And Daman And Diu,Urban,Female,16.3655190627,0.0,30.6335670236,0.0,0.0,0.0,9.9875949931,0.0,1.6410025448,0.0,2.049743919,0.0,0.0,1.9545637451,0.0,20.5437050366,5.9946189503,0.0,6.9691293246
The Dadra And Nagar Haveli And Daman And Diu,Urban,Male,5.2377860566,0.4255150737,72.2996770671,1.0381819849,0.0692121323,2.2639531396,6.5970632064,4.3177348404,1.0328579748,0.4046247736,0.8249044682,0.7949182695,0.0,0.495654921,0.5748158371,2.3305593892,0.8174079186,0.0,0.0
The Dadra And Nagar Haveli And Daman And Diu,Urban,Person,6.937380316,0.364727206,65.2931456474,0.8198975676,0.0532401018,1.9143214654,7.2709001124,3.4244573237,1.1527181274,0.3194406108,1.1069371604,0.6826945138,0.0,0.6967224833,0.4741678168,5.3015383204,1.4990860863,0.0,1.48539884
